epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,epsilon_spent
1,2.303205,0.097786,0.108833,0.101667,0.101667,0.4152
2,2.302307,0.132522,0.138167,0.136667,0.136667,0.5831
3,2.300681,0.145683,0.140667,0.149333,0.149333,0.7161
4,2.299254,0.144815,0.150333,0.158000,0.158000,0.8306
5,2.298576,0.141147,0.153500,0.159000,0.159000,0.9333
6,2.296691,0.143382,0.158667,0.167000,0.167000,1.0275
7,2.293582,0.151193,0.163000,0.171000,0.171000,1.1152
8,2.290917,0.149918,0.169500,0.176667,0.176667,1.1977
9,2.285898,0.158221,0.170167,0.177000,0.177000,1.2759
10,2.278478,0.152883,0.179667,0.191667,0.191667,1.3506
11,2.273831,0.161087,0.186667,0.196333,0.196333,1.4222
12,2.264208,0.157834,0.197667,0.199667,0.199667,1.4912
13,2.250465,0.169512,0.198500,0.208000,0.208000,1.5578
14,2.236937,0.178271,0.198167,0.207333,0.208000,1.6223
15,2.227610,0.167107,0.211667,0.223000,0.223000,1.6849
16,2.208418,0.196027,0.224167,0.233667,0.233667,1.7459
17,2.197748,0.198384,0.222833,0.229000,0.233667,1.8053
18,2.188516,0.201050,0.223667,0.227333,0.233667,1.8633
19,2.188884,0.202397,0.229333,0.241667,0.241667,1.9200
20,2.183038,0.214695,0.227667,0.237000,0.241667,1.9755
21,2.174091,0.204743,0.224333,0.239000,0.241667,2.0299
22,2.171448,0.209862,0.233333,0.235333,0.241667,2.0833
23,2.169020,0.217983,0.236333,0.239333,0.241667,2.1357
24,2.154531,0.222556,0.241000,0.247000,0.247000,2.1872
25,2.143199,0.220860,0.243167,0.249333,0.249333,2.2379
26,2.149757,0.226390,0.239333,0.249667,0.249667,2.2877
27,2.127659,0.233033,0.243500,0.256000,0.256000,2.3368
28,2.147430,0.233659,0.242333,0.248333,0.256000,2.3852
29,2.141591,0.232274,0.247167,0.249667,0.256000,2.4329
30,2.139686,0.233623,0.245000,0.250667,0.256000,2.4800
31,2.116539,0.249294,0.247833,0.253667,0.256000,2.5265
32,2.115847,0.250911,0.250000,0.257000,0.257000,2.5723
33,2.126564,0.231475,0.256333,0.257667,0.257667,2.6177
34,2.120571,0.238910,0.261167,0.263667,0.263667,2.6624
35,2.110568,0.253824,0.255667,0.260667,0.263667,2.7067
36,2.096321,0.243448,0.258500,0.267667,0.267667,2.7505
37,2.102519,0.238614,0.264167,0.272333,0.272333,2.7938
38,2.088682,0.241356,0.265500,0.269000,0.272333,2.8367
39,2.086632,0.243366,0.260333,0.267000,0.272333,2.8791
40,2.090458,0.245754,0.271833,0.279333,0.279333,2.9211
41,2.055100,0.261425,0.275000,0.285000,0.285000,2.9627
42,2.058961,0.256720,0.277667,0.292333,0.292333,3.0040
43,2.062498,0.261779,0.276167,0.285667,0.292333,3.0448
44,2.044615,0.254787,0.273167,0.284000,0.292333,3.0853
45,2.035985,0.262689,0.278667,0.286667,0.292333,3.1255
46,2.053591,0.260346,0.290333,0.297333,0.297333,3.1653
47,2.039834,0.265641,0.286000,0.294333,0.297333,3.2047
48,2.039819,0.256240,0.278500,0.290333,0.297333,3.2439
49,2.048856,0.265462,0.282167,0.291667,0.297333,3.2828
50,2.031831,0.273901,0.293500,0.302000,0.302000,3.3213
51,2.027828,0.265257,0.294000,0.304333,0.304333,3.3596
52,2.020930,0.272073,0.291167,0.298333,0.304333,3.3976
53,2.004355,0.277932,0.297500,0.306333,0.306333,3.4353
54,2.013578,0.282396,0.296833,0.304333,0.306333,3.4727
55,2.007105,0.281895,0.295667,0.304333,0.306333,3.5099
56,2.022213,0.269789,0.300833,0.308333,0.308333,3.5468
57,1.996174,0.282224,0.299000,0.304333,0.308333,3.5835
58,1.999876,0.284408,0.301667,0.306667,0.308333,3.6200
59,2.001332,0.281999,0.304000,0.316000,0.316000,3.6562
60,2.007189,0.283560,0.306667,0.317333,0.317333,3.6922
61,2.005738,0.285618,0.302500,0.312667,0.317333,3.7279
62,1.965365,0.293038,0.306333,0.311000,0.317333,3.7635
63,2.001823,0.281856,0.303500,0.308667,0.317333,3.7988
64,1.976287,0.286099,0.304667,0.314000,0.317333,3.8340
65,2.001321,0.276514,0.305167,0.310333,0.317333,3.8689
66,1.994124,0.282653,0.301333,0.310000,0.317333,3.9036
67,1.986372,0.291625,0.311000,0.317333,0.317333,3.9382
68,1.996603,0.290013,0.307833,0.313667,0.317333,3.9725
69,1.991552,0.292897,0.308000,0.312667,0.317333,4.0067
70,1.998891,0.280590,0.313000,0.319000,0.319000,4.0407
71,2.002279,0.291751,0.311000,0.314667,0.319000,4.0745
72,2.004756,0.286835,0.306667,0.315000,0.319000,4.1081
73,1.976042,0.296872,0.311167,0.317667,0.319000,4.1416
74,1.956521,0.292790,0.310667,0.315333,0.319000,4.1749
75,1.968692,0.301175,0.313000,0.316667,0.319000,4.2080
76,1.973821,0.295042,0.311500,0.314333,0.319000,4.2410
77,1.992100,0.289891,0.314500,0.319000,0.319000,4.2738
78,2.000066,0.288777,0.306833,0.315333,0.319000,4.3065
79,1.984755,0.294878,0.307333,0.314667,0.319000,4.3390
80,1.994039,0.293130,0.310500,0.314333,0.319000,4.3714
81,1.977554,0.296345,0.313500,0.319000,0.319000,4.4036
82,1.996077,0.287958,0.312500,0.316333,0.319000,4.4357
83,1.976424,0.297111,0.318333,0.321333,0.321333,4.4676
84,1.979950,0.293642,0.311833,0.315000,0.321333,4.4994
85,1.960104,0.301706,0.316333,0.319333,0.321333,4.5311
86,1.975087,0.297315,0.317333,0.317333,0.321333,4.5626
87,1.973304,0.297589,0.317000,0.318667,0.321333,4.5940
88,1.987801,0.302486,0.316167,0.316333,0.321333,4.6253
89,1.964324,0.295629,0.315833,0.316333,0.321333,4.6565
90,1.963258,0.299291,0.316500,0.318333,0.321333,4.6875
91,1.956961,0.303530,0.318833,0.319667,0.321333,4.7184
92,1.938340,0.313892,0.318667,0.321333,0.321333,4.7492
93,1.969502,0.296663,0.315000,0.316667,0.321333,4.7799
94,1.965534,0.301737,0.319500,0.315333,0.321333,4.8104
95,1.968375,0.310926,0.324667,0.329333,0.329333,4.8408
96,1.960250,0.301209,0.318167,0.316667,0.329333,4.8712
97,1.972725,0.307389,0.321333,0.318667,0.329333,4.9014
98,1.951683,0.316680,0.320833,0.321000,0.329333,4.9315
99,1.994753,0.291625,0.323333,0.322667,0.329333,4.9615
100,1.957833,0.308838,0.322833,0.324667,0.329333,4.9913
