epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,epsilon_spent
1,2.303141,0.101644,0.113167,0.107000,0.107000,0.0834
2,2.302263,0.125617,0.124667,0.134333,0.134333,0.1187
3,2.300578,0.136463,0.134167,0.139000,0.139000,0.1467
4,2.299254,0.130604,0.139667,0.149000,0.149000,0.1708
5,2.298474,0.132502,0.152000,0.158333,0.158333,0.1923
6,2.296149,0.144049,0.165000,0.169000,0.169000,0.2120
7,2.292604,0.153155,0.186000,0.196667,0.196667,0.2304
8,2.289819,0.149753,0.187000,0.193333,0.196667,0.2476
9,2.284682,0.146644,0.168000,0.168333,0.196667,0.2639
10,2.276335,0.135802,0.166167,0.165667,0.196667,0.2794
11,2.274454,0.143520,0.168667,0.169667,0.196667,0.2942
12,2.263820,0.146370,0.185000,0.185333,0.196667,0.3085
13,2.251879,0.164779,0.197000,0.207333,0.207333,0.3223
14,2.241640,0.176757,0.208500,0.221667,0.221667,0.3356
15,2.236029,0.177510,0.213833,0.226667,0.226667,0.3485
16,2.217305,0.182729,0.227167,0.235667,0.235667,0.3610
17,2.204431,0.190963,0.238333,0.238667,0.238667,0.3732
18,2.190444,0.204438,0.230333,0.235333,0.238667,0.3851
19,2.188933,0.194632,0.235667,0.236667,0.238667,0.3967
20,2.179067,0.204752,0.236333,0.243333,0.243333,0.4080
21,2.172248,0.206747,0.241667,0.246667,0.246667,0.4191
22,2.167344,0.206328,0.247333,0.253667,0.253667,0.4299
23,2.154331,0.222857,0.251500,0.245000,0.253667,0.4406
24,2.143217,0.218713,0.253333,0.250000,0.253667,0.4510
25,2.133803,0.223379,0.251667,0.249000,0.253667,0.4613
26,2.137301,0.217670,0.250833,0.254333,0.254333,0.4714
27,2.110208,0.233883,0.250333,0.251000,0.254333,0.4813
28,2.130846,0.228169,0.248667,0.260667,0.260667,0.4910
29,2.130072,0.228595,0.252500,0.259000,0.260667,0.5007
30,2.127254,0.234124,0.259167,0.264667,0.264667,0.5101
31,2.104902,0.243144,0.260667,0.266667,0.266667,0.5194
32,2.107139,0.243292,0.250667,0.261000,0.266667,0.5287
33,2.114814,0.230474,0.255333,0.261667,0.266667,0.5377
34,2.109833,0.233830,0.262000,0.267000,0.267000,0.5467
35,2.097853,0.237687,0.259500,0.263000,0.267000,0.5555
36,2.081188,0.243283,0.269500,0.271667,0.271667,0.5643
37,2.085957,0.245608,0.274167,0.270667,0.271667,0.5729
38,2.075451,0.249916,0.274167,0.277333,0.277333,0.5814
39,2.056470,0.253443,0.267000,0.276333,0.277333,0.5899
40,2.072749,0.254246,0.272667,0.276667,0.277333,0.5982
41,2.056823,0.251848,0.274000,0.275333,0.277333,0.6065
42,2.066278,0.252977,0.269667,0.266667,0.277333,0.6146
43,2.080683,0.254201,0.267667,0.267667,0.277333,0.6227
44,2.061446,0.254619,0.268667,0.269000,0.277333,0.6307
45,2.048816,0.260460,0.275833,0.277000,0.277333,0.6387
46,2.056136,0.255427,0.285000,0.287000,0.287000,0.6465
47,2.050211,0.259517,0.283500,0.284000,0.287000,0.6543
48,2.046114,0.259567,0.274667,0.280667,0.287000,0.6620
49,2.056373,0.261317,0.275500,0.271333,0.287000,0.6696
50,2.031683,0.272056,0.281000,0.281333,0.287000,0.6772
51,2.033939,0.260484,0.288000,0.285000,0.287000,0.6847
52,2.024217,0.265370,0.291167,0.288000,0.288000,0.6922
53,2.009793,0.266808,0.292500,0.290333,0.290333,0.6996
54,2.023027,0.277348,0.289167,0.286667,0.290333,0.7069
55,2.015085,0.277934,0.287000,0.282333,0.290333,0.7141
56,2.043661,0.261873,0.296500,0.295333,0.295333,0.7214
57,2.015279,0.274352,0.280833,0.277000,0.295333,0.7285
58,2.018091,0.273574,0.278333,0.271667,0.295333,0.7356
59,2.014838,0.270780,0.289500,0.282667,0.295333,0.7427
60,2.018012,0.272666,0.291167,0.288000,0.295333,0.7497
61,2.024762,0.270932,0.285500,0.282667,0.295333,0.7566
62,1.978703,0.281131,0.288333,0.275667,0.295333,0.7635
63,2.003509,0.279867,0.294833,0.283667,0.295333,0.7704
64,1.986701,0.271794,0.290333,0.281667,0.295333,0.7772
65,2.007723,0.273503,0.296500,0.289333,0.295333,0.7839
66,2.006604,0.276747,0.292667,0.289000,0.295333,0.7907
67,1.997640,0.284343,0.301667,0.294333,0.295333,0.7973
68,2.012996,0.274882,0.302000,0.298667,0.298667,0.8040
69,2.015648,0.284102,0.294833,0.295667,0.298667,0.8106
70,2.029561,0.274201,0.294167,0.295667,0.298667,0.8171
71,2.038835,0.283199,0.298500,0.293667,0.298667,0.8236
72,2.046141,0.277991,0.294167,0.293000,0.298667,0.8301
73,2.003543,0.284531,0.291000,0.291667,0.298667,0.8365
74,1.997672,0.284030,0.293833,0.295667,0.298667,0.8429
75,2.009964,0.287275,0.297500,0.294000,0.298667,0.8493
76,2.014381,0.285878,0.298167,0.294333,0.298667,0.8556
77,2.017959,0.283876,0.299000,0.294667,0.298667,0.8619
78,2.040350,0.281407,0.290500,0.295667,0.298667,0.8682
79,2.021890,0.286259,0.292333,0.298000,0.298667,0.8744
80,2.019804,0.285906,0.294167,0.290333,0.298667,0.8806
81,2.018134,0.281034,0.295000,0.301667,0.301667,0.8867
82,2.021285,0.279941,0.296833,0.302667,0.302667,0.8928
83,2.002955,0.282499,0.296833,0.298333,0.302667,0.8989
84,2.019522,0.282081,0.292500,0.290333,0.302667,0.9050
85,2.013936,0.281835,0.299333,0.299333,0.302667,0.9110
86,2.042173,0.278422,0.300500,0.302667,0.302667,0.9170
87,2.011736,0.293880,0.300833,0.300000,0.302667,0.9230
88,2.034485,0.291065,0.307667,0.299333,0.302667,0.9289
89,2.011923,0.285953,0.310667,0.300000,0.302667,0.9348
90,2.014423,0.291536,0.307000,0.300667,0.302667,0.9407
91,2.005699,0.293706,0.306500,0.307667,0.307667,0.9466
92,1.981204,0.304088,0.309333,0.295667,0.307667,0.9524
93,2.037457,0.286768,0.299000,0.294667,0.307667,0.9582
94,2.025295,0.296774,0.305500,0.304000,0.307667,0.9640
95,2.024504,0.291014,0.309500,0.306667,0.307667,0.9697
96,2.035779,0.295579,0.310833,0.299333,0.307667,0.9755
